Jenis Disabilitas,Kebutuhan Aksesibilitas,No Job Title,Job Title,No Kualifikasi,Level,Deskripsi Kualifikasi
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,1,Entry level,"Lulusan SMA/SMK, mampu menggunakan screen reader (NVDA/JAWS), komunikasi verbal yang jelas, kemauan belajar tinggi."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,2,Entry level,"Lulusan D3 semua jurusan, pengalaman magang customer service min. 3 bulan, familiar dengan voice-based CRM tools."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,3,Mid level,"Lulusan S1 semua jurusan, min. 1 tahun pengalaman customer service, mahir mengoperasikan software berbasis keyboard shortcut."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,4,Mid level,"Lulusan S1 Komunikasi/Psikologi, pengalaman 2 tahun di call center, kemampuan multitasking dengan tools audio."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,5,Mid level,"Pengalaman 2+ tahun customer service, sertifikasi digital literacy untuk difabel, kemampuan Bahasa Inggris aktif."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,6,Senior level,"Min. 3 tahun pengalaman, pernah memimpin tim kecil, menguasai CRM berbasis voice (Zendesk, Freshdesk), kemampuan coaching."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,7,Senior level,"S1/S2 Manajemen, 3+ tahun pengalaman, mampu menyusun SOP aksesibel, pengalaman audit UX untuk pengguna tunanetra."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,8,Lead / Manajerial,"5+ tahun pengalaman customer service, pernah merancang training aksesibilitas, kemampuan analisis data performa tim."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,9,Lead / Manajerial,"S2 atau setara, pengalaman manajemen tim 5+ tahun, rekam jejak peningkatan customer satisfaction, fasih membaca laporan audio."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,1,Customer Service Representative,10,Lead / Manajerial,"10+ tahun di industri layanan pelanggan, pengalaman konsultasi aksesibilitas digital, kemampuan strategic planning berbasis voice tools."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,1,Entry level,"Lulusan SMA/SMK, suara komunikatif, kemampuan menggunakan headset dan software dialer berbasis keyboard."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,2,Entry level,"Lulusan D3, pengalaman penjualan informal, familiar dengan script berbasis audio, motivasi target tinggi."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,3,Mid level,"S1 semua jurusan, 1+ tahun pengalaman telemarketing, mampu mengoperasikan auto-dialer aksesibel secara mandiri."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,4,Mid level,"2 tahun pengalaman telemarketing, track record pencapaian target, mahir menggunakan screen reader untuk navigasi CRM."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,5,Mid level,"Pengalaman 2+ tahun B2B telemarketing, kemampuan negosiasi verbal kuat, familiar dengan produk SaaS."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,6,Senior level,"3+ tahun telemarketing, kemampuan closing deal tinggi, pernah melatih junior agent, menguasai pitch deck berbasis audio."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,7,Senior level,"S1 Marketing/Komunikasi, 4 tahun pengalaman, mampu menganalisis konversi dari laporan audio, pengalaman outbound & inbound."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,8,Lead / Manajerial,"5+ tahun, pengalaman team lead, mampu menyusun script penjualan aksesibel, mengelola pipeline berbasis voice dashboard."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,9,Lead / Manajerial,"S2 Marketing, 6+ tahun, rekam jejak meningkatkan revenue tim, pengalaman merancang program insentif."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,2,Telemarketer,10,Lead / Manajerial,"8+ tahun di industri telemarketing, pengalaman direktur penjualan, kemampuan forecasting berbasis audio reporting."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,1,Entry level,"Lulusan SMA/SMK, hobi audio content, familiar dengan Audacity atau GarageBand berbasis keyboard shortcut."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,2,Entry level,"Lulusan D3 Broadcasting/Komunikasi, pengalaman magang produksi audio, mampu editing dasar dengan screen reader."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,3,Mid level,"S1 Komunikasi/Broadcasting, 1+ tahun produksi podcast, mahir Adobe Audition dengan shortcut, kemampuan scripting."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,4,Mid level,"2 tahun pengalaman podcast production, portfolio 10+ episode, mampu mengelola distribusi ke Spotify/Apple via keyboard."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,5,Mid level,"Pengalaman 2+ tahun, memahami audio SEO, kemampuan mixing & mastering, familiar dengan RSS feed management."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,6,Senior level,"3+ tahun produksi konten audio, pengalaman memimpin project multi-episode, rekam jejak pertumbuhan subscriber."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,7,Senior level,"S1/S2 Broadcasting, 4 tahun, kemampuan story development kuat, pengalaman kolaborasi remote dengan tim kreatif."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,8,Lead / Manajerial,"5+ tahun, pernah meluncurkan brand podcast dari nol, kemampuan monetisasi audio content, manajemen talent."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,9,Lead / Manajerial,"S2 Media/Komunikasi, 6+ tahun, pengalaman executive producer, kemampuan menyusun strategi konten tahunan."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,3,Podcast Producer,10,Lead / Manajerial,"8+ tahun industri audio/podcast, rekam jejak podcast top-chart, kemampuan fundraising dan brand partnership."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,1,Entry level,"Lulusan SMA/SMK, kecepatan mengetik min. 40 WPM dengan keyboard, familiar dengan screen reader untuk navigasi form."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,2,Entry level,"Lulusan D3, kemampuan mengetik 50+ WPM, teliti, familiar dengan Google Sheets atau Excel berbasis keyboard."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,3,Mid level,"S1 semua jurusan, 1+ tahun data entry, akurasi 98%+, mahir navigasi database dengan NVDA/JAWS."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,4,Mid level,"2 tahun pengalaman, familiar dengan ERP system yang aksesibel, kemampuan validasi data sederhana."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,5,Mid level,"Pengalaman 2+ tahun, kemampuan batch processing data, familiar dengan script otomasi sederhana (macro keyboard)."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,6,Senior level,"3+ tahun, kemampuan supervisi tim data entry, merancang template aksesibel, kualitas kontrol data."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,7,Senior level,"S1 Statistik/Informatika, 4+ tahun, kemampuan analisis konsistensi data, pengelolaan database besar."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,8,Lead / Manajerial,"5+ tahun data management, pengalaman merancang SOP validasi data aksesibel, memimpin tim 5+ orang."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,9,Lead / Manajerial,"S2 Informasi/Manajemen, 6+ tahun, kemampuan audit data quality, pengalaman implementasi sistem data aksesibel."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,4,Data Entry Operator,10,Lead / Manajerial,"8+ tahun, pengalaman kepala departemen data, strategi transformasi data digital, vendor management."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,1,Entry level,"Lulusan SMA/SMK, kemampuan mendengar dan mengetik akurat, familiar dengan pemutar audio berbasis keyboard."
Tunanetra,Screen reader / Voice navigation / Teks besar & kontras tinggi / Alt text,5,Transcriptionist,2,Entry level,"Lulusan D3, kecepatan transkripsi 60+ WPM, familiar dengan ExpressScribe atau sejenisnya, Bahasa Indonesia/Inggris baik."
