kandidat_id,disability_type,skills,functional_profile
K001,Gangguan Penglihatan (Tunanetra),"R, Power BI, NumPy, Tableau, Machine Learning Dasar","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang analisis data dan business intelligence menggunakan JAWS, display braille, dan braille note taker. Lulus dari S1 Teknik Informatika dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K002,Gangguan Pendengaran / Tuli (Tunarungu),"TypeScript, Git, Bootstrap, React, Node.js","Gangguan pendengaran total yang diatasi dengan penggunaan BISINDO dan teks digital. Latar belakang S1 Sistem Informasi, sangat kompeten dalam HTML/CSS dan JavaScript untuk bidang pengembangan web. Lebih menyukai komunikasi via Slack, email, atau dokumen tertulis dan dapat berkontribusi penuh dalam tim yang inklusif."
K003,Gangguan Daksa Tangan,"SQLite, Swift, Kotlin, Flutter",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan D3 Manajemen Informatika yang berpengalaman di bidang pengembangan aplikasi mobile. Sangat produktif menggunakan Flutter dan Dart dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K004,Gangguan Spektrum Autisme,"Wireframing, Sketch, Adobe XD, Design System","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan desain antarmuka pengguna. Latar belakang S1 Matematika (konsentrasi komputasi), menguasai Figma dan Prototyping Tools secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K005,Gangguan Daksa Kaki,"Jurnal Keuangan, Pajak, Accurate, Akuntansi, Rekonsiliasi Bank","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Ilmu Administrasi Negara, sangat kompeten dalam Microsoft Excel dan Google Sheets untuk pekerjaan entri data dan pengelolaan database. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K006,Gangguan Bicara (Tunawicara),"Copywriting, Analitik Media Sosial, Email Marketing, SEO, Google Ads",Tunawicara yang berkomunikasi menggunakan text-to-speech dan teks tertulis. Latar belakang S1 Manajemen dengan keahlian mendalam dalam Google Ads dan Meta Ads untuk bidang pemasaran digital. Lebih efektif dalam lingkungan kerja yang tidak mensyaratkan presentasi verbal tatap muka secara intensif.
K007,Gangguan Mental / Psikososial,"Penanganan Keluhan, Live Chat, CRM, Problem Solving","Penyandang PTSD pasca kerja yang kini telah pulih dan aktif di bidang layanan pelanggan. Lulusan S1 Psikologi, terampil menggunakan platform live chat dan helpdesk. Bekerja paling baik dalam tim yang suportif dengan komunikasi yang terbuka dan tidak ada budaya blame."
K008,Gangguan Spektrum Autisme,"Ansible, Docker, GCP, Kubernetes","Penyandang GSA yang telah berkarir sukses di bidang pengembangan backend dan arsitektur sistem berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S2 Ilmu Komputer, menguasai FastAPI dan Redis. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K009,Acquired Brain Injury (ABI),"QA Documentation, Cypress, Selenium, Postman, Katalon, Test Case","Mengalami cedera otak akibat kecelakaan lalu lintas yang memengaruhi memori jangka pendek, namun kemampuan teknis di bidang quality assurance dan pengujian perangkat lunak tetap terjaga. Lulusan D4 Rekayasa Perangkat Lunak, terampil dalam Selenium dan Postman. Bekerja menggunakan alat bantu seperti reminder digital, catatan terstruktur, dan aplikasi manajemen tugas untuk mengkompensasi keterbatasan memori."
K010,Gangguan Intelektual,"Pengarsipan, Administrasi Perkantoran, Manajemen Jadwal, Notulensi, Microsoft Office","Gangguan intelektual ringan yang tidak menghalangi kontribusi nyata di bidang administrasi perkantoran. Lulusan D3 Akuntansi dengan fokus pada keterampilan praktis. Membutuhkan panduan kerja yang jelas, umpan balik rutin, dan lingkungan yang tidak berubah-ubah untuk memaksimalkan performa."
K011,Gangguan Penglihatan (Tunanetra),"Motion Graphics, Adobe Illustrator, CorelDRAW, Canva, Tipografi, Branding",Lulusan S1 Marketing yang bekerja sepenuhnya menggunakan screen reader NVDA dan JAWS untuk mengoperasikan komputer dalam pekerjaan desain antarmuka pengguna. Sangat terampil dalam Sketch dan InVision yang diakses melalui antarmuka berbasis keyboard dan teknologi bantu. Membutuhkan perangkat lunak aksesibilitas yang terpasang di workstation dan dokumentasi yang tersedia dalam format digital yang dapat dibaca screen reader.
K012,Gangguan Daksa Tangan,"Instagram, Penulisan Konten, CapCut, Editing Video, Copywriting","Mengalami keterbatasan fungsi pada kedua tangan namun telah beradaptasi menggunakan keyboard ergonomis, software voice-to-text, dan perangkat bantu khusus untuk bekerja di bidang pemasaran digital. Lulusan D3 Sekretaris, terampil dalam tools SEO dan analitik media sosial. Efektivitas kerja tidak berkurang dengan dukungan teknologi asistif yang tepat."
K013,Gangguan Mental / Psikososial,"Hubungan Industrial, Pelatihan SDM, LinkedIn Recruiter, HRIS, Rekrutmen, Manajemen Kinerja","Memiliki riwayat gangguan kecemasan (anxiety disorder) yang telah terkelola dengan baik melalui terapi dan pengobatan rutin. Lulusan D3 Akuntansi yang berpengalaman di bidang manajemen sumber daya manusia menggunakan platform rekrutmen digital. Bekerja paling optimal dalam lingkungan yang memiliki ekspektasi kerja yang jelas, tidak terlalu banyak perubahan mendadak, dan mendukung keseimbangan kerja-hidup."
K014,Gangguan Daksa Kaki,"Perencanaan Distribusi, Inventory, Manajemen Gudang, WMS, SAP WM, Microsoft Excel","Mengalami kelumpuhan kaki akibat polio dan menggunakan kursi roda listrik untuk mobilitas. Lulusan S1 Desain Komunikasi Visual, sangat kompeten dalam software entri data perusahaan untuk pekerjaan entri data dan pengelolaan database. Bekerja paling efektif di kantor dengan fasilitas aksesibel atau secara remote penuh."
K015,Gangguan Spektrum Autisme,"Nmap, OWASP, Ethical Hacking, Firewall, Kriptografi","Penyandang GSA yang telah berkarir sukses di bidang jaringan komputer dan infrastruktur IT berkat kemampuan analitis yang kuat dan dedikasi terhadap akurasi. Latar belakang S1 Teknik Informatika, menguasai Cisco dan MikroTik. Bekerja paling efektif dengan panduan tugas tertulis yang detail dan feedback yang langsung serta spesifik."
K016,Acquired Brain Injury (ABI),"Machine Learning Dasar, Python, NumPy, Statistik, R","Penyandang ABI pasca operasi tumor otak yang mengalami pemulihan signifikan. Lulusan S1 Teknik Informatika, kompeten dalam Tableau dan Power BI untuk bidang analisis data dan business intelligence dengan adaptasi penggunaan reminder dan checklist digital. Sangat cocok untuk posisi yang memiliki struktur kerja jelas dan tidak memerlukan respons instan dalam situasi darurat."
K017,Gangguan Penglihatan (Tunanetra),"Penetration Testing, Metasploit, SIEM, Kriptografi, Ethical Hacking, OWASP","Mengalami gangguan penglihatan total sejak lahir dan telah mengembangkan keahlian profesional di bidang keamanan siber menggunakan JAWS, display braille, dan braille note taker. Lulus dari S1 Matematika (konsentrasi komputasi) dengan dukungan teknologi asistif penuh. Mampu bekerja mandiri dan hanya membutuhkan lingkungan kerja yang kompatibel dengan screen reader."
K018,Gangguan Daksa Tangan,"Rekrutmen, Manajemen Kinerja, Payroll, HRIS",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan S1 Marketing yang berpengalaman di bidang manajemen sumber daya manusia. Sangat produktif menggunakan platform rekrutmen digital dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K019,Acquired Brain Injury (ABI),"Jetpack Compose, Android, Swift, SQLite","ABI yang memengaruhi fungsi eksekutif seperti perencanaan dan multitasking. Lulusan S1 Ilmu Komputer, menggunakan aplikasi manajemen tugas (Notion, Trello) dan reminder otomatis untuk mendukung produktivitas di bidang pengembangan aplikasi mobile. Sangat terampil dalam Flutter dan Dart dan bekerja terbaik dengan tugas yang terstruktur dan tenggat yang jelas."
K020,Gangguan Bicara (Tunawicara),"Design System, Adobe XD, Figma, User Research",Tunawicara yang berkomunikasi menggunakan text-to-speech dan teks tertulis. Latar belakang S1 Teknik Informatika dengan keahlian mendalam dalam Sketch dan InVision untuk bidang desain antarmuka pengguna. Lebih efektif dalam lingkungan kerja yang tidak mensyaratkan presentasi verbal tatap muka secara intensif.
K021,Gangguan Bicara (Tunawicara),"Notulensi, Administrasi Perkantoran, Pengarsipan, Microsoft Office, Google Workspace","Gangguan wicara (gagap berat) yang tidak memengaruhi kemampuan kognitif dan teknis di bidang administrasi perkantoran. Lulusan S1 Komunikasi yang terampil dalam Microsoft Office dan Google Workspace. Mampu bekerja secara mandiri dan berkolaborasi efektif dalam tim melalui komunikasi tertulis seperti Slack, email, dan dokumen bersama."
K022,Gangguan Spektrum Autisme,"Prototyping, Canva, Wireframing","Penyandang Gangguan Spektrum Autisme (GSA) fungsional tinggi dengan kemampuan hiperfokus dan perhatian terhadap detail yang luar biasa di bidang desain antarmuka pengguna. Lulusan S1 Sistem Informasi, sangat terampil dalam Figma dan Prototyping Tools. Bekerja paling optimal di lingkungan yang tenang, minim gangguan sensorik, dan memiliki ekspektasi tugas yang jelas dan tidak ambigu."
K023,Gangguan Pendengaran / Tuli (Tunarungu),"Supply Chain, ERP, WMS, SAP WM",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan S1 Psikologi yang berpengalaman di bidang logistik dan manajemen rantai pasok. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan SAP WM.
K024,Gangguan Mental / Psikososial,"Vue.js, JavaScript, TypeScript","Memiliki riwayat gangguan kecemasan (anxiety disorder) yang telah terkelola dengan baik melalui terapi dan pengobatan rutin. Lulusan S1 Teknik Elektro yang berpengalaman di bidang pengembangan web menggunakan Laravel dan MySQL. Bekerja paling optimal dalam lingkungan yang memiliki ekspektasi kerja yang jelas, tidak terlalu banyak perubahan mendadak, dan mendukung keseimbangan kerja-hidup."
K025,Gangguan Pendengaran / Tuli (Tunarungu),"Freshdesk, Zendesk, Komunikasi, Problem Solving, Penanganan Keluhan, Empati","Tunarungu yang sangat terampil dalam bidang layanan pelanggan dengan latar belakang S1 Marketing. Menggunakan closed caption dan subtitle otomatis dalam rapat video, serta mengandalkan komunikasi tertulis untuk koordinasi harian. Keahlian platform live chat dan helpdesk telah terbukti dalam pengalaman kerja sebelumnya."
K026,Gangguan Intelektual,"Pajak, MYOB, Audit Internal","Penyandang gangguan intelektual ringan yang mampu menjalankan pekerjaan operasional secara mandiri setelah masa orientasi. Latar belakang D3 Sekretaris, menguasai dasar-dasar MYOB dan Accurate. Bekerja paling baik dalam lingkungan kerja yang konsisten, suportif, dan memiliki prosedur kerja yang terdokumentasi dengan baik."
K027,Gangguan Daksa Kaki,"R, Pandas, Power BI, Tableau, Google Data Studio, Python","Penyandang tunadaksa kaki dengan kaki prostetik yang memungkinkan mobilitas mandiri. Latar belakang S1 Sistem Informasi, terampil dalam R dan Excel untuk bidang analisis data dan business intelligence. Membutuhkan akses parkir khusus disabilitas dan jalur yang rata atau berslope di gedung kantor."
K028,Gangguan Pendengaran / Tuli (Tunarungu),"Cisco, Monitoring Jaringan, VPN, MikroTik, CCNA, Firewall",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan D3 Teknik Informatika yang berpengalaman di bidang jaringan komputer dan infrastruktur IT. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan Linux dan Firewall tools.
K029,Gangguan Mental / Psikososial,"Cisco, Monitoring Jaringan, Firewall, Networking","Individu dengan gangguan psikososial yang kini dalam kondisi stabil dan siap kembali ke dunia kerja di bidang jaringan komputer dan infrastruktur IT. Latar belakang S1 Ilmu Komputer, kompeten dalam Cisco dan MikroTik. Sangat cocok untuk posisi yang tidak mensyaratkan tekanan kerja tinggi dan memungkinkan fleksibilitas pendekatan penyelesaian tugas."
K030,Gangguan Daksa Tangan,"OWASP, SIEM, Firewall, Kriptografi, Penetration Testing",Gangguan motorik pada tangan yang teratasi dengan penggunaan voice recognition (Dragon NaturallySpeaking) dan mouse trackball. Lulusan D3 Manajemen Informatika yang berpengalaman di bidang jaringan komputer dan infrastruktur IT. Sangat produktif menggunakan Cisco dan MikroTik dan membutuhkan workstation dengan setup ergonomis yang mendukung.
K031,Gangguan Spektrum Autisme,"Google Workspace, Administrasi Perkantoran, Microsoft Office, Surat Menyurat","Individu dengan autisme fungsional tinggi (Asperger) yang memiliki kemampuan analitis dan pattern recognition yang sangat baik untuk pekerjaan administrasi perkantoran. Latar belakang S1 Komunikasi, menguasai sistem pengarsipan digital secara mendalam. Lebih menyukai komunikasi tertulis dan lingkungan kerja yang terstruktur dengan rutinitas yang konsisten."
K032,Gangguan Bicara (Tunawicara),"Surat Menyurat, Google Workspace, Manajemen Jadwal, Administrasi Perkantoran, Microsoft Office","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang D3 Sekretaris, ahli dalam Microsoft Office dan Google Workspace untuk bidang administrasi perkantoran. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
K033,Gangguan Mental / Psikososial,"Payroll, HRIS, Hubungan Industrial","Penyandang PTSD pasca kerja yang kini telah pulih dan aktif di bidang manajemen sumber daya manusia. Lulusan S1 Psikologi, terampil menggunakan platform rekrutmen digital. Bekerja paling baik dalam tim yang suportif dengan komunikasi yang terbuka dan tidak ada budaya blame."
K034,Gangguan Pendengaran / Tuli (Tunarungu),"Microsoft Excel, Pengetikan Cepat, Accurate",Penyandang tunarungu dengan kemampuan membaca gerak bibir yang sangat baik dan menggunakan alat bantu dengar untuk situasi tertentu. Lulusan D3 Administrasi Bisnis yang berpengalaman di bidang entri data dan pengelolaan database. Sangat produktif dalam lingkungan kerja yang tidak bergantung pada komunikasi verbal intensif dan mendukung penggunaan Microsoft Excel dan Google Sheets.
K035,Gangguan Bicara (Tunawicara),"Empati, Komunikasi, Zendesk, Problem Solving, Penanganan Keluhan","Penyandang tunawicara yang mengandalkan komunikasi tertulis digital untuk seluruh koordinasi kerja. Latar belakang S1 Hubungan Internasional, ahli dalam platform live chat dan helpdesk untuk bidang layanan pelanggan. Sangat produktif dalam lingkungan remote maupun kantor yang mengutamakan komunikasi asinkron melalui platform digital."
